,1,2,3,4,5,6,7,8,9,10
1,1.0,0.87918,0.04403,0.67443,0.00036,0.00237,0.0,0.0,0.00036,0.00237
2,0.87918,1.0,0.05498,0.79369,0.00015,0.00294,0.0,0.0,0.00015,0.00294
3,0.04403,0.05498,1.0,0.05381,0.0,2e-05,0.0,0.0,0.0,2e-05
4,0.67443,0.79369,0.05381,1.0,1e-05,0.00158,0.0,0.0,1e-05,0.00158
5,0.00036,0.00015,0.0,1e-05,1.0,0.12111,0.0,0.0,1.0,0.12111
6,0.00237,0.00294,2e-05,0.00158,0.12111,1.0,0.0,0.0,0.12111,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,0.00036,0.00015,0.0,1e-05,1.0,0.12111,0.0,0.0,1.0,0.12111
10,0.00237,0.00294,2e-05,0.00158,0.12111,1.0,0.0,0.0,0.12111,1.0
