,1,2,3,4,5,6,7,8,9,10
1,1.0,0.72183,0.0,0.0,0.58376,0.71112,0.0,0.0,0.58376,0.71112
2,0.72183,1.0,0.0,0.0,0.24495,0.43158,0.0,0.0,0.24495,0.43158
3,0.0,0.0,1.0,0.25347,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.25347,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.58376,0.24495,0.0,0.0,1.0,0.8693,0.0,0.0,1.0,0.8693
6,0.71112,0.43158,0.0,0.0,0.8693,1.0,0.0,0.0,0.8693,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,0.58376,0.24495,0.0,0.0,1.0,0.8693,0.0,0.0,1.0,0.8693
10,0.71112,0.43158,0.0,0.0,0.8693,1.0,0.0,0.0,0.8693,1.0
