Arquivo,Media_F1_Scores,Max_F1_Scores,Min_F1_Scores,Std_F1_Scores
IQCNDsE_Linha_circles_metrics_results_2025-09-09_13-26-51,0.37854488854361656,0.4186951321097114,0.343268029739878,0.02142723240587254
IQCNDsE_Coluna_circles_metrics_results_2025-09-09_14-51-27,0.3765407253085493,0.4101351219745053,0.3309071613141381,0.02196348018445521
IQC_Linha_circles_metrics_results_2025-09-05_15-38-32,0.37470833232702516,0.409718496454014,0.3351826172561984,0.015646905731717807
IQC_AIL_Linha_circles_metrics_results_2025-09-05_13-02-37,0.37470833232702516,0.409718496454014,0.3351826172561984,0.015646905731717807
IQC_Coluna_circles_metrics_results_2025-09-05_16-55-35,0.3733422571005528,0.4310883546659774,0.3346209475279243,0.019965549248284822
IQC_AIL_Coluna_circles_metrics_results_2025-09-05_14-20-16,0.3733422571005528,0.4310883546659774,0.3346209475279243,0.019965549248284822
IQCpQ_tgt2_Coluna_circles_metrics_results_2025-09-21_16-22-00,0.35189849952776764,0.3826935895726011,0.3288617067686835,0.011189802900133054
IQCpQ_tgt2_Linha_circles_metrics_results_2025-09-05_18-36-12,0.3485974389608536,0.3732297134654282,0.3266374291083593,0.010978145665916358
IQCpQ_tgt4_Coluna_circles_metrics_results_2025-09-19_08-37-37,0.3457824254357957,0.3757363890091097,0.3239555018624786,0.012892649852843817
IQCpQ_tgt4_Linha_circles_metrics_results_2025-09-19_04-44-29,0.344877519644276,0.3596840152551507,0.3241719520789288,0.009105899538519566
IQC_Angle_Linha_circles_metrics_results_2025-09-23_15-28-24,0.3333333333333334,0.3333333333333333,0.3333333333333333,1.1292025708167404e-16
IQC_Angle_Coluna_circles_metrics_results_2025-09-09_12-02-25,0.3333333333333334,0.3333333333333333,0.3333333333333333,1.1292025708167404e-16
